error,numSignals,selectSignal,samples,doas,freqOrig,freqMVDR,freqOrigMag,freqMVDRMag
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[56.21688997130405, 26.734467207818508, 23.765532147014728]","[6.304709966235366, 0.6481839657867512, 16.404493549216053]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 307199.99999999994]","[307199.99999999994, 304127.99999999994, 1078271.9999999998]","[55.97843187625355, 26.446084305143383, 12.933040841682438]","[5.98064905400518, 0.5633618331775734, 8.944430072345137]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[56.22074361280847, 26.31013860290955, 19.151894642602475]","[6.20116404139546, 0.651734831680232, 13.18272133691022]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 304127.99999999994, 577535.9999999999]","[304127.99999999994, 1078271.9999999998, 577535.9999999999]","[55.83109489142436, 27.143085714196992, 25.862488526350056]","[6.071905048977508, 18.82781914719663, 0.5830229577546829]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[55.77640217582849, 25.78994842049082, 20.489746784607455]","[5.880836384846782, 0.5209739686727706, 14.5709699082406]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 304127.99999999994, 577535.9999999999]","[304127.99999999994, 1078271.9999999998, 577535.9999999999]","[55.65894745224246, 27.361080673830397, 25.401254346351003]","[5.9740325380540575, 18.857528685378373, 0.6284413196472574]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[55.53781999606212, 25.54168178330313, 23.62400940652953]","[6.113111537030547, 0.6063664157137089, 16.386104038600504]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 307199.99999999994]","[307199.99999999994, 1078271.9999999998, 304127.99999999994]","[56.08427038087551, 25.917743656594922, 15.198597926513056]","[6.2069160893147926, 0.5742130684290099, 10.381094044965119]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 307199.99999999994]","[307199.99999999994, 1078271.9999999998, 304127.99999999994]","[55.7921575795887, 25.62593466965766, 25.022826537811422]","[5.914706750878361, 0.5742673844811191, 17.488501335979247]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[55.90229557807218, 25.630601105720853, 19.85287190696624]","[6.297314693599516, 0.5937152750580404, 13.430630685186793]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 307199.99999999994, 577535.9999999999]","[307199.99999999994, 1078271.9999999998, 577535.9999999999]","[55.68288691898045, 25.410809496838688, 25.346660257266567]","[5.914796171085368, 17.710791550272678, 0.6101000994756206]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 307199.99999999994, 577535.9999999999]","[307199.99999999994, 1078271.9999999998, 577535.9999999999]","[55.61725591198304, 26.99896543459663, 25.1384625441059]","[6.030492894368256, 18.93201499821252, 0.5656741056022019]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 307199.99999999994]","[307199.99999999994, 1078271.9999999998, 304127.99999999994]","[55.248326551397234, 25.306181288758296, 24.97263619173374]","[5.926299716642618, 0.5457796607228316, 17.532250064771294]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 307199.99999999994]","[307199.99999999994, 1078271.9999999998, 304127.99999999994]","[55.66049550544747, 25.084744058146367, 18.94614980813049]","[6.029246862674614, 0.6264354208535096, 12.94525855360286]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 301055.99999999994]","[55.03681426038926, 24.683096313766438, 19.56477213726835]","[6.096738992904274, 0.6157330084729649, 13.495633523954348]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 304127.99999999994, 577535.9999999999]","[304127.99999999994, 1078271.9999999998, 577535.9999999999]","[54.715859651265774, 27.348554796223183, 24.167084118971083]","[5.866106436282823, 18.90857172521674, 0.5846925132521062]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 304127.99999999994, 577535.9999999999]","[304127.99999999994, 1078271.9999999998, 577535.9999999999]","[54.69422083767394, 26.134448411608133, 23.82819012359818]","[5.848134276409214, 18.408206300536754, 0.48697622276878744]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 307199.99999999994, 577535.9999999999]","[307199.99999999994, 1078271.9999999998, 577535.9999999999]","[54.31153983505266, 25.381479464141567, 23.597965568690483]","[5.884133749950578, 17.451960346920917, 0.5647602948721865]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 307199.99999999994, 577535.9999999999]","[307199.99999999994, 1078271.9999999998, 304127.99999999994]","[54.54897398576326, 25.037022816168722, 23.84422063813544]","[5.819254691087295, 17.567839355011376, 0.5581009652133121]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 307199.99999999994]","[307199.99999999994, 1078271.9999999998, 304127.99999999994]","[55.54161617873815, 25.118951041173734, 19.963303555936186]","[6.03937582918224, 0.6482661863723781, 13.71903872626334]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[55.37234380183905, 24.92792847396445, 14.287062018537743]","[5.936144906365725, 0.5875302010805693, 9.97246541815054]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 304127.99999999994, 577535.9999999999]","[304127.99999999994, 1078271.9999999998, 577535.9999999999]","[54.72222222861289, 26.55414980520403, 24.31321849109337]","[5.933262768597735, 18.649910398435377, 0.5246734476960113]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 301055.99999999994]","[54.452885678172436, 23.64232956544426, 22.445575001581524]","[6.016412204906458, 0.5251591310130381, 15.50806273877033]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 304127.99999999994, 577535.9999999999]","[304127.99999999994, 1078271.9999999998, 577535.9999999999]","[54.30052828618866, 27.30966750682254, 23.2559702191116]","[6.071369731369877, 18.6657355072361, 0.5285954000733211]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[54.33586466146281, 23.409985769269415, 16.649570739805238]","[6.173111890282661, 0.5636788191921385, 11.330792251500947]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 307199.99999999994, 577535.9999999999]","[307199.99999999994, 1078271.9999999998, 577535.9999999999]","[53.75363619141799, 25.97848561300487, 23.109059686210294]","[5.864006893981141, 18.33062584855243, 0.501481438869347]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 307199.99999999994]","[307199.99999999994, 1078271.9999999998, 304127.99999999994]","[53.69616020517648, 23.000267509282605, 22.662807455707398]","[5.893203356081831, 0.5452696894647319, 15.890110363602387]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 307199.99999999994]","[307199.99999999994, 1078271.9999999998, 304127.99999999994]","[53.96730272839465, 23.394336826991612, 17.252267397532666]","[5.77024626476548, 0.5514170337761772, 11.83683824716155]"
